File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF583NSN	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1						ENCFF611HKY	84250084	Brenton Graveley, UConn	5b2783e41c7d52077256da3484124506		https://www.encodeproject.org/files/ENCFF583NSN/@@download/ENCFF583NSN.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF977NZL	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1						ENCFF611HKY	86445388	Brenton Graveley, UConn	a7aaf7629e9e7d7b99ab96b79977efd5		https://www.encodeproject.org/files/ENCFF977NZL/@@download/ENCFF977NZL.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF612MSL	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1						ENCFF962DFV	94676888	Brenton Graveley, UConn	19cd2fd98c71b437cb0d1f3f1e0bcb8f		https://www.encodeproject.org/files/ENCFF612MSL/@@download/ENCFF612MSL.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF629ZUW	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1						ENCFF611HKY	94339941	Brenton Graveley, UConn	8c184324d78493b63c1f5a0b3a2dd81d		https://www.encodeproject.org/files/ENCFF629ZUW/@@download/ENCFF629ZUW.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF823RTB	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF664GMB	97542214	ENCODE Processing Pipeline	0f5f77bba79078233e8793bb3412682c		https://www.encodeproject.org/files/ENCFF823RTB/@@download/ENCFF823RTB.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF664GMB	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF212IXF, ENCFF309DSM, ENCFF751OWT	3367227019	ENCODE Processing Pipeline	0351c3568617d43c2f9e107dcb5dcddd		https://www.encodeproject.org/files/ENCFF664GMB/@@download/ENCFF664GMB.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF390WBA	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF361LFF, ENCFF751OWT, ENCFF837BXN	3384163639	ENCODE Processing Pipeline	0a7ab4a4f1ced9394bb9df330263a45f		https://www.encodeproject.org/files/ENCFF390WBA/@@download/ENCFF390WBA.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF594FYJ	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF664GMB	91486772	ENCODE Processing Pipeline	d53804090a224e023bc380e88aab817a		https://www.encodeproject.org/files/ENCFF594FYJ/@@download/ENCFF594FYJ.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF307QFG	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF390WBA	87550449	ENCODE Processing Pipeline	d8b266e2ad83c4f9a0888c87211eb6e1		https://www.encodeproject.org/files/ENCFF307QFG/@@download/ENCFF307QFG.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF483UHC	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF390WBA	95973759	ENCODE Processing Pipeline	8940710624716d0558a4eb55ac7faf91		https://www.encodeproject.org/files/ENCFF483UHC/@@download/ENCFF483UHC.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF338CCD	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF664GMB	98595589	ENCODE Processing Pipeline	db2f5285e48a2f90a2ec6e76f7767108		https://www.encodeproject.org/files/ENCFF338CCD/@@download/ENCFF338CCD.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF894LRU	bam	transcriptome alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF361LFF, ENCFF742NER, ENCFF837BXN	5317882774	ENCODE Processing Pipeline	9195aaf0f0f88295cbd3552a9bf4643e		https://www.encodeproject.org/files/ENCFF894LRU/@@download/ENCFF894LRU.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF543JJZ	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF664GMB	89797145	ENCODE Processing Pipeline	ba3d7d9e89f8886a66c7271431da0749		https://www.encodeproject.org/files/ENCFF543JJZ/@@download/ENCFF543JJZ.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF534ATY	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF390WBA	94871115	ENCODE Processing Pipeline	15f6ad809bf9b6e9f202729801a55863		https://www.encodeproject.org/files/ENCFF534ATY/@@download/ENCFF534ATY.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF727EUR	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF675LDM	96932954	ENCODE Processing Pipeline	eb2317acd4f5b7ed9d6453daf831963b		https://www.encodeproject.org/files/ENCFF727EUR/@@download/ENCFF727EUR.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF083PLW	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF675LDM	94982689	ENCODE Processing Pipeline	abb6ab45e68d8bba1c5e527516e597e0		https://www.encodeproject.org/files/ENCFF083PLW/@@download/ENCFF083PLW.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF364MJR	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF390WBA	89283196	ENCODE Processing Pipeline	e114ae4d9178b591c069b8df2923a0e8		https://www.encodeproject.org/files/ENCFF364MJR/@@download/ENCFF364MJR.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF176MKW	bam	transcriptome alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF212IXF, ENCFF309DSM, ENCFF742NER	5385639072	ENCODE Processing Pipeline	5f1aee12e6af02529448a2f1f1eea1ff		https://www.encodeproject.org/files/ENCFF176MKW/@@download/ENCFF176MKW.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF675LDM	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF212IXF, ENCFF309DSM, ENCFF742NER	4221024302	ENCODE Processing Pipeline	92fb1779e6394dc439716212289626b0		https://www.encodeproject.org/files/ENCFF675LDM/@@download/ENCFF675LDM.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF030DWG	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF477BTB	95733227	ENCODE Processing Pipeline	51c6a9ca3b9c694863ec8ed65eeed655		https://www.encodeproject.org/files/ENCFF030DWG/@@download/ENCFF030DWG.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF477BTB	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF361LFF, ENCFF742NER, ENCFF837BXN	4228855126	ENCODE Processing Pipeline	7a0a9f36751ee1eb05fdfddc136bf4f5		https://www.encodeproject.org/files/ENCFF477BTB/@@download/ENCFF477BTB.bam	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF500MNU	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF477BTB	93710785	ENCODE Processing Pipeline	0e5c98a31c2184f228f3cd209ca5b628		https://www.encodeproject.org/files/ENCFF500MNU/@@download/ENCFF500MNU.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF817CJE	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF477BTB	107609077	ENCODE Processing Pipeline	d8e72af7b96c7c75740eb6f54c4d0310		https://www.encodeproject.org/files/ENCFF817CJE/@@download/ENCFF817CJE.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF425FNQ	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF675LDM	108731345	ENCODE Processing Pipeline	478e1fc8d7bb784f42afbb2fc6ac8192		https://www.encodeproject.org/files/ENCFF425FNQ/@@download/ENCFF425FNQ.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF168HME	tsv	transcript quantifications	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF176MKW, ENCFF940AZB	26551832	ENCODE Processing Pipeline	3e461b3c392fd02cd2cfe79260106fa2		https://www.encodeproject.org/files/ENCFF168HME/@@download/ENCFF168HME.tsv	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF369IBD	tsv	transcript quantifications	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF894LRU, ENCFF940AZB	26541665	ENCODE Processing Pipeline	97b3343d9ff7f2de7f4101ff3bf61b3b		https://www.encodeproject.org/files/ENCFF369IBD/@@download/ENCFF369IBD.tsv	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF297ESK	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF477BTB	106513306	ENCODE Processing Pipeline	2d287522e79b3238c700f281a3f3fbac		https://www.encodeproject.org/files/ENCFF297ESK/@@download/ENCFF297ESK.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF298EQC	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF675LDM	109852239	ENCODE Processing Pipeline	ba8ea384038ea9ecbd1744c5e404f1fc		https://www.encodeproject.org/files/ENCFF298EQC/@@download/ENCFF298EQC.bigWig	GRCh38	V24			released			experiment not submitted to GEO		
ENCFF202BSC	tsv	gene quantifications	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF894LRU, ENCFF940AZB	9912248	ENCODE Processing Pipeline	204debb27dc14354e60c6a0ed9194327		https://www.encodeproject.org/files/ENCFF202BSC/@@download/ENCFF202BSC.tsv	GRCh38	V24			released			experiment not submitted to GEO		
